//11-16
gregoryLeibniz:
Terms:		Time(ms):	Digits:
10000			10		4
20000			20		5
30000			40		5
40000			60		5
80000			100		5
160000			220		5
320000			230		5
640000			860		6
1280000			1750		6
2560000			3460		7
5120000			7040		7
10240000		13990		7
20480000		27670		8
40960000		65850		8
81920000		110720		8
163840000		217880		8
327680000		442550		9
655360000		1060810		9
1310720000		1772450		9

//11-20
Terms:		Time(ms):	Digits:
1000		240		2
2000		960		3
4000		3620		4
8000		14850		4
16000		57730		4
32000		238790		5
64000		962970		5
128000
//scrapped all

//11-27
Leibniz
Terms:		Time(ms):	Digits:
100000		150		5
200000		310		5
400000		600		6
800000		1260		6
1600000		2460		7
3200000		4850		7
6400000		9770		7
12800000	19750		7
25600000	38900		8
51200000	78050		8
102400000	154500		8
204800000	309150		8
409600000	620220		9
819200000	1558990		9

//11-28
Circle
Terms:		Time(ms):	Digits:
1000		230		2
2000		900		3
4000		4470		4
8000		14940		4
16000		60760		4
32000		257410		5
64000		968090		5
128000		4277787		5

Wallis
Terms:		Time(ms):	Digits:
10000		60		5
20000		130		5
40000		260		5
80000		600		5
160000		1260		5
320000		2560		6
640000		5100		6
1280000		10250		7
2560000		20530		7
5120000		41760		7
10240000	82230		7
20480000	164590		8
40960000	329500		8
81920000	659490		8
163840000	1323150		8
//327680000	1269657772	9

//11-29
Newton
Terms:		Time(ms):	Digits:
1000		800		302
2000		4890		600
4000		35960		1205
8000		292770		2410
16000		2521954		4818

Chudnovsky
Terms:		Time(ms):	Digits:
100		220		1419
200		720		2836
400		2740		5673
800		12550		11346
1600		91390		22691
3200		693460		45382
6400		1074552		90764

//12-4
Ramanujan
Terms:		Time(ms):	Digits:
100		40		768
200		140		1596
400		600		3193
800		4390		6387
1600		32010		12773
3200		241080		25545
6400		1885180		51089	
